WX: top_k=17, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=17, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=17, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5122
WX: top_k=17, lambda=2.92857, top_site=L0-d0, exact=0.5234, gold prob=0.5231
WX: top_k=17, lambda=3.46429, top_site=L0-d0, exact=0.5430, gold prob=0.5383
WX: top_k=17, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5479
WX: top_k=18, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=18, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=18, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=18, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=18, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5109
WX: top_k=18, lambda=2.92857, top_site=L0-d0, exact=0.5195, gold prob=0.5182
WX: top_k=18, lambda=3.46429, top_site=L0-d0, exact=0.5273, gold prob=0.5323
WX: top_k=18, lambda=4, top_site=L0-d0, exact=0.5391, gold prob=0.5435
WX: top_k=19, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=19, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=19, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=19, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=19, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5097
WX: top_k=19, lambda=2.92857, top_site=L0-d0, exact=0.5117, gold prob=0.5150
WX: top_k=19, lambda=3.46429, top_site=L0-d0, exact=0.5234, gold prob=0.5266
WX: top_k=19, lambda=4, top_site=L0-d0, exact=0.5430, gold prob=0.5403
WX: top_k=20, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=20, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=20, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=20, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=20, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5101
WX: top_k=20, lambda=2.92857, top_site=L0-d0, exact=0.5117, gold prob=0.5153
WX: top_k=20, lambda=3.46429, top_site=L0-d0, exact=0.5234, gold prob=0.5243
WX: top_k=20, lambda=4, top_site=L0-d0, exact=0.5312, gold prob=0.5354
WX: top_k=21, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=21, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=21, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=21, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=21, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5166
WX: top_k=21, lambda=2.92857, top_site=L0-d0, exact=0.5312, gold prob=0.5323
WX: top_k=21, lambda=3.46429, top_site=L0-d0, exact=0.5430, gold prob=0.5478
WX: top_k=21, lambda=4, top_site=L0-d0, exact=0.5625, gold prob=0.5638
WX: top_k=22, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=22, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=22, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=22, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=22, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5133
WX: top_k=22, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5307
WX: top_k=22, lambda=3.46429, top_site=L0-d0, exact=0.5469, gold prob=0.5457
WX: top_k=22, lambda=4, top_site=L0-d0, exact=0.5586, gold prob=0.5593
WX: top_k=23, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=23, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=23, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=23, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=23, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5108
WX: top_k=23, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5267
WX: top_k=23, lambda=3.46429, top_site=L0-d0, exact=0.5430, gold prob=0.5410
WX: top_k=23, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5539
WX: top_k=24, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=24, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=24, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=24, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=24, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5094
WX: top_k=24, lambda=2.92857, top_site=L0-d0, exact=0.5195, gold prob=0.5230
WX: top_k=24, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5371
WX: top_k=24, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5499
WX: top_k=25, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=25, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=25, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=25, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=25, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5088
WX: top_k=25, lambda=2.92857, top_site=L0-d0, exact=0.5195, gold prob=0.5194
WX: top_k=25, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5333
WX: top_k=25, lambda=4, top_site=L0-d0, exact=0.5469, gold prob=0.5463
WX: top_k=26, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=26, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=26, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=26, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=26, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5091
WX: top_k=26, lambda=2.92857, top_site=L0-d0, exact=0.5156, gold prob=0.5197
WX: top_k=26, lambda=3.46429, top_site=L0-d0, exact=0.5391, gold prob=0.5393
WX: top_k=26, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5531
WX: top_k=27, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=27, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=27, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=27, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=27, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5087
WX: top_k=27, lambda=2.92857, top_site=L0-d0, exact=0.5117, gold prob=0.5175
WX: top_k=27, lambda=3.46429, top_site=L0-d0, exact=0.5391, gold prob=0.5389
WX: top_k=27, lambda=4, top_site=L0-d0, exact=0.5547, gold prob=0.5544
WX: top_k=28, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=28, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=28, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=28, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=28, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5084
WX: top_k=28, lambda=2.92857, top_site=L0-d0, exact=0.5117, gold prob=0.5145
WX: top_k=28, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5340
WX: top_k=28, lambda=4, top_site=L0-d0, exact=0.5547, gold prob=0.5509
WX: top_k=29, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=29, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=29, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=29, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5084
WX: top_k=29, lambda=2.39286, top_site=L0-d0, exact=0.5234, gold prob=0.5180
